DATE,VALUE
1971-01-04,7.4850
1971-01-05,7.4872
1971-01-06,7.4839
1971-01-07,7.4850
1971-01-08,7.4850
1971-01-11,7.4850
1971-01-12,7.4849
1971-01-13,7.4812
1971-01-14,7.4844
1971-01-15,7.4839
1971-01-18,7.4836
1971-01-19,7.4836
1971-01-20,7.4833
1971-01-21,7.4848
1971-01-22,7.4850
1971-01-25,7.4867
1971-01-26,7.4848
1971-01-27,7.4834
1971-01-28,7.4853
1971-01-29,7.4868
1971-02-01,7.4858
1971-02-02,7.4858
1971-02-03,7.4844
1971-02-04,7.4854
1971-02-05,7.4875
1971-02-08,7.4874
1971-02-09,7.4850
1971-02-10,7.4883
1971-02-11,7.4881
1971-02-12,.
1971-02-15,.
1971-02-16,7.4881
1971-02-17,7.4846
1971-02-18,7.4848
1971-02-19,7.4864
1971-02-22,7.4841
1971-02-23,7.4832
1971-02-24,7.4828
1971-02-25,7.4818
1971-02-26,7.4834
1971-03-01,7.4826
1971-03-02,7.4826
1971-03-03,7.4794
1971-03-04,7.4818
1971-03-05,7.4834
1971-03-08,7.4825
1971-03-09,7.4816
1971-03-10,7.4794
1971-03-11,7.4807
1971-03-12,7.4794
1971-03-15,7.4791
1971-03-16,7.4791
1971-03-17,7.4783
1971-03-18,7.4818
1971-03-19,7.4831
1971-03-22,7.4818
1971-03-23,7.4808
1971-03-24,7.4783
1971-03-25,7.4802
1971-03-26,7.4827
1971-03-29,7.4835
1971-03-30,7.4792
1971-03-31,7.4764
1971-04-01,7.4805
1971-04-02,7.4833
1971-04-05,7.4846
1971-04-06,7.4878
1971-04-07,7.4859
1971-04-08,7.4861
1971-04-09,7.4855
1971-04-12,7.4864
1971-04-13,7.4891
1971-04-14,7.4864
1971-04-15,7.4878
1971-04-16,7.4903
1971-04-19,7.4892
1971-04-20,7.4881
1971-04-21,7.4854
1971-04-22,7.4905
1971-04-23,7.4909
1971-04-26,7.4937
1971-04-27,7.4937
1971-04-28,7.4948
