DATE,VALUE
1973-01-02,8.0200
1973-01-03,8.0200
1973-01-04,8.0000
1973-01-05,8.0100
1973-01-08,8.0000
1973-01-09,8.0000
1973-01-10,8.0000
1973-01-11,8.0000
1973-01-12,8.0000
1973-01-15,8.0000
1973-01-16,8.0100
1973-01-17,8.0100
1973-01-18,8.0100
1973-01-19,8.0000
1973-01-22,8.0000
1973-01-23,8.0000
1973-01-24,8.0000
1973-01-25,8.0000
1973-01-26,8.0000
1973-01-29,8.0100
1973-01-30,8.0000
1973-01-31,8.0000
1973-02-01,8.0000
1973-02-02,8.0000
1973-02-05,7.9700
1973-02-06,8.0000
1973-02-07,8.0000
1973-02-08,8.0100
1973-02-09,8.0100
1973-02-12,.
1973-02-13,.
1973-02-14,.
1973-02-15,7.5800
1973-02-16,7.5800
1973-02-19,.
1973-02-20,7.5800
1973-02-21,7.5800
1973-02-22,7.5800
1973-02-23,7.5800
1973-02-26,7.5500
1973-02-27,7.5200
1973-02-28,7.5200
1973-03-01,7.5500
1973-03-02,.
1973-03-05,.
1973-03-06,7.3500
1973-03-07,7.1900
1973-03-08,7.2500
1973-03-09,7.5500
1973-03-12,7.5200
1973-03-13,7.5200
1973-03-14,7.9400
1973-03-15,7.5200
1973-03-16,7.8100
1973-03-19,7.6000
1973-03-20,7.5800
1973-03-21,7.5800
1973-03-22,7.5800
1973-03-23,7.5800
1973-03-26,7.5800
1973-03-27,7.5500
1973-03-28,7.5500
1973-03-29,7.5800
1973-03-30,7.5500
1973-04-02,7.5800
1973-04-03,7.5500
1973-04-04,7.5500
1973-04-05,7.5500
1973-04-06,7.5500
1973-04-09,7.5500
1973-04-10,7.5500
1973-04-11,7.5200
1973-04-12,7.5000
1973-04-13,7.5200
1973-04-16,7.5200
1973-04-17,7.5500
1973-04-18,7.5500
1973-04-19,7.5500
1973-04-20,7.5500
1973-04-23,7.5500
1973-04-24,7.5600
1973-04-25,7.5500
1973-04-26,7.5600
1973-04-27,7.5800
1973-04-30,7.5300
1973-05-01,7.5400
1973-05-02,7.5200
1973-05-03,7.5500
1973-05-04,7.5500
1973-05-07,7.5500
1973-05-08,7.5500
1973-05-09,7.5200
1973-05-10,7.5200
1973-05-11,7.5200
1973-05-14,7.4600
1973-05-15,7.4600
1973-05-16,7.4900
1973-05-17,7.5200
1973-05-18,7.5200
1973-05-21,7.5200
1973-05-22,7.5200
1973-05-23,7.5200
1973-05-24,7.4600
1973-05-25,7.4100
1973-05-28,.
1973-05-29,7.4000
1973-05-30,7.3500
1973-05-31,7.3900
1973-06-01,7.2500
1973-06-04,7.2200
1973-06-05,7.2200
1973-06-06,7.2700
1973-06-07,7.2500
1973-06-08,7.3000
1973-06-11,7.3000
1973-06-12,7.3300
1973-06-13,7.3300
1973-06-14,7.2600
1973-06-15,7.3000
1973-06-18,7.2500
1973-06-19,7.2500
1973-06-20,7.2500
1973-06-21,7.2500
1973-06-22,7.3000
1973-06-25,7.2700
1973-06-26,7.2700
1973-06-27,7.2700
1973-06-28,7.2700
1973-06-29,7.3000
1973-07-02,7.3000
1973-07-03,7.2700
1973-07-04,.
1973-07-05,7.2700
1973-07-06,7.3000
1973-07-09,7.3000
1973-07-10,7.3000
1973-07-11,7.3000
1973-07-12,7.2500
1973-07-13,7.3000
1973-07-16,7.3000
1973-07-17,7.2700
1973-07-18,7.2700
1973-07-19,7.2700
1973-07-20,7.4100
1973-07-23,7.4100
1973-07-24,7.4600
1973-07-25,7.4600
1973-07-26,7.4600
1973-07-27,7.4900
1973-07-30,7.4900
1973-07-31,7.4900
1973-08-01,7.4900
1973-08-02,7.4900
1973-08-03,7.4900
1973-08-06,7.5200
1973-08-07,7.5200
1973-08-08,7.4600
1973-08-09,7.4900
1973-08-10,7.4900
1973-08-13,7.6200
1973-08-14,7.5800
1973-08-15,7.6000
1973-08-16,7.5800
1973-08-17,7.6600
1973-08-20,7.6600
1973-08-21,7.6600
1973-08-22,7.6000
1973-08-23,7.6000
1973-08-24,7.6000
1973-08-27,7.5800
1973-08-28,7.5800
1973-08-29,7.5500
1973-08-30,7.5800
1973-08-31,7.5800
1973-09-03,.
1973-09-04,7.5800
1973-09-05,7.5500
1973-09-06,7.5800
1973-09-07,7.5800
1973-09-10,7.6000
1973-09-11,7.6000
1973-09-12,7.7500
1973-09-13,7.7800
1973-09-14,7.7800
1973-09-17,7.7500
1973-09-18,7.7800
1973-09-19,7.7500
1973-09-20,7.7500
1973-09-21,7.7500
1973-09-24,7.7200
1973-09-25,7.7500
1973-09-26,7.7500
1973-09-27,7.7500
1973-09-28,7.7500
1973-10-01,7.7200
1973-10-02,7.7800
1973-10-03,7.7800
1973-10-04,7.7800
1973-10-05,7.7800
1973-10-08,.
1973-10-09,7.7800
1973-10-10,7.7500
1973-10-11,7.7500
1973-10-12,7.7500
1973-10-15,7.7800
1973-10-16,7.7200
1973-10-17,7.6900
1973-10-18,7.6900
1973-10-19,7.6900
1973-10-22,.
1973-10-23,7.6900
1973-10-24,7.6900
1973-10-25,7.6900
1973-10-26,7.6900
1973-10-29,7.6900
1973-10-30,7.6900
1973-10-31,7.6900
1973-11-01,7.6800
1973-11-02,7.6800
1973-11-05,7.7000
1973-11-06,.
1973-11-07,7.7600
1973-11-08,7.7600
1973-11-09,7.7800
1973-11-12,7.6900
1973-11-13,7.6900
1973-11-14,7.6900
1973-11-15,7.6900
1973-11-16,7.8600
1973-11-19,7.8600
1973-11-20,7.8300
1973-11-21,7.8300
1973-11-22,.
1973-11-23,8.0000
1973-11-26,8.0000
1973-11-27,8.0000
1973-11-28,8.0600
1973-11-29,8.0600
1973-11-30,8.0600
1973-12-03,8.0300
1973-12-04,8.0300
1973-12-05,8.0300
1973-12-06,8.0600
1973-12-07,8.0600
1973-12-10,8.0600
1973-12-11,8.0600
1973-12-12,8.1300
1973-12-13,8.1300
1973-12-14,8.1300
1973-12-17,8.2000
1973-12-18,8.2000
1973-12-19,8.1200
1973-12-20,8.1200
1973-12-21,8.1200
1973-12-24,8.1200
1973-12-25,.
1973-12-26,8.1200
1973-12-27,8.1600
1973-12-28,8.1600
1973-12-31,8.1600
1974-01-01,.
1974-01-02,8.1600
1974-01-03,8.2100
1974-01-04,8.2100
1974-01-07,8.2100
1974-01-08,8.4000
1974-01-09,8.4000
1974-01-10,8.4000
1974-01-11,8.4000
1974-01-14,8.3600
1974-01-15,8.3600
1974-01-16,8.3600
1974-01-17,8.3600
1974-01-18,8.5800
1974-01-21,8.5800
1974-01-22,8.5800
1974-01-23,8.6200
1974-01-24,8.6200
1974-01-25,8.6200
1974-01-28,8.5500
1974-01-29,8.5500
1974-01-30,8.5500
1974-01-31,8.5500
1974-02-01,8.2300
1974-02-04,8.2300
1974-02-05,8.2300
1974-02-06,8.2300
1974-02-07,8.2300
1974-02-08,8.3700
1974-02-11,8.3700
1974-02-12,.
1974-02-13,8.3300
1974-02-14,8.3300
1974-02-15,8.2300
1974-02-18,.
1974-02-19,8.2300
1974-02-20,8.2300
1974-02-21,8.2000
1974-02-22,8.2000
1974-02-25,8.2000
1974-02-26,8.2000
1974-02-27,8.2000
1974-02-28,8.1600
1974-03-01,8.2000
1974-03-04,8.2000
1974-03-05,8.2000
1974-03-06,8.2000
1974-03-07,8.0800
1974-03-08,8.1000
1974-03-11,8.1000
1974-03-12,8.1000
1974-03-13,8.1000
1974-03-14,8.1000
1974-03-15,8.0300
1974-03-18,8.0300
1974-03-19,8.0300
1974-03-20,8.0300
1974-03-21,8.0300
1974-03-22,7.9700
1974-03-25,7.9700
1974-03-26,7.9700
1974-03-27,7.9700
1974-03-28,7.9700
1974-03-29,7.8100
1974-04-01,7.8100
1974-04-02,7.8100
1974-04-03,7.8100
1974-04-04,7.8100
1974-04-05,7.8400
1974-04-08,7.8400
1974-04-09,7.8400
1974-04-10,7.8100
1974-04-11,7.8100
1974-04-12,7.9700
1974-04-15,7.9700
1974-04-16,8.0000
1974-04-17,7.9700
1974-04-18,7.9700
1974-04-19,7.8700
1974-04-22,7.8700
1974-04-23,7.8700
1974-04-24,7.8700
1974-04-25,7.8700
1974-04-26,7.8100
1974-04-29,7.8100
1974-04-30,7.8100
1974-05-01,7.8100
1974-05-02,7.8100
1974-05-03,7.7500
1974-05-06,7.7500
1974-05-07,7.8700
1974-05-08,7.7500
1974-05-09,7.7500
1974-05-10,7.7200
1974-05-13,7.7200
1974-05-14,7.7200
1974-05-15,7.7200
1974-05-16,7.7200
1974-05-17,7.8100
1974-05-20,7.8100
1974-05-21,7.8400
1974-05-22,7.8100
1974-05-23,7.8100
1974-05-24,7.8100
1974-05-27,.
1974-05-28,7.8100
1974-05-29,7.8100
1974-05-30,7.8100
1974-05-31,7.8700
1974-06-03,7.8700
1974-06-04,7.8700
1974-06-05,7.8700
