DATE,VALUE
1993-11-08,3.1520
1993-11-09,3.2400
1993-11-10,3.2400
1993-11-11,.
1993-11-12,3.2400
1993-11-15,3.2150
1993-11-16,.
1993-11-17,.
1993-11-18,3.1080
1993-11-19,3.1150
1993-11-22,3.1022
1993-11-23,3.1026
1993-11-24,3.1030
1993-11-25,.
1993-11-26,3.1140
1993-11-29,3.1100
1993-11-30,3.1055
1993-12-01,3.1038
1993-12-02,3.1060
1993-12-03,3.1045
1993-12-06,3.1060
1993-12-07,3.1052
1993-12-08,3.1066
1993-12-09,3.1070
1993-12-10,3.1170
1993-12-13,3.1148
1993-12-14,3.1130
1993-12-15,3.1070
1993-12-16,3.1060
1993-12-17,3.1060
1993-12-20,3.1100
1993-12-21,3.1100
1993-12-22,3.1150
1993-12-23,3.1100
1993-12-24,3.1050
1993-12-27,3.1060
1993-12-28,3.1060
1993-12-29,3.1100
1993-12-30,3.1080
1993-12-31,.
1994-01-03,3.1080
1994-01-04,3.1200
1994-01-05,3.1065
1994-01-06,3.1060
1994-01-07,3.1060
1994-01-10,3.1160
1994-01-11,3.1090
1994-01-12,3.1095
1994-01-13,3.1060
1994-01-14,3.1085
1994-01-17,.
1994-01-18,3.1060
1994-01-19,3.1060
1994-01-20,3.1065
1994-01-21,3.1060
1994-01-24,3.1060
1994-01-25,3.1055
1994-01-26,3.1070
1994-01-27,3.1062
1994-01-28,3.1050
1994-01-31,3.1060
1994-02-01,3.1050
1994-02-02,3.1050
1994-02-03,3.1050
1994-02-04,3.1050
1994-02-07,3.1052
1994-02-08,3.1053
1994-02-09,3.1060
1994-02-10,3.1050
1994-02-11,3.1060
1994-02-14,3.1050
1994-02-15,3.1050
1994-02-16,3.1050
1994-02-17,3.1050
1994-02-18,3.1055
1994-02-21,.
1994-02-22,3.1125
1994-02-23,3.1180
1994-02-24,3.2100
1994-02-25,3.2050
1994-02-28,3.1950
1994-03-01,3.1800
1994-03-02,3.2600
1994-03-03,3.2500
1994-03-04,3.2450
1994-03-07,3.2530
1994-03-08,3.2560
1994-03-09,3.3100
1994-03-10,3.2850
1994-03-11,3.2950
1994-03-14,3.2900
1994-03-15,3.3100
1994-03-16,3.3070
1994-03-17,3.3000
1994-03-18,3.3250
1994-03-21,3.3300
1994-03-22,3.3300
1994-03-23,3.3375
1994-03-24,.
1994-03-25,3.3586
1994-03-28,3.3598
1994-03-29,3.3500
1994-03-30,3.3610
1994-03-31,3.3650
1994-04-01,.
1994-04-04,3.3626
1994-04-05,3.3630
1994-04-06,3.3630
1994-04-07,3.3630
1994-04-08,3.3642
1994-04-11,3.3654
1994-04-12,3.3650
1994-04-13,3.3662
1994-04-14,3.3666
1994-04-15,3.3645
1994-04-18,3.3680
1994-04-19,3.3686
1994-04-20,3.3690
1994-04-21,3.3694
1994-04-22,3.3698
1994-04-25,3.3590
1994-04-26,3.3100
1994-04-27,3.2730
1994-04-28,3.2800
1994-04-29,3.2800
1994-05-02,3.2700
1994-05-03,3.3100
1994-05-04,3.3120
1994-05-05,.
1994-05-06,3.3200
1994-05-09,3.3380
1994-05-10,3.3350
1994-05-11,3.3250
1994-05-12,3.3300
1994-05-13,3.3220
1994-05-16,3.3300
1994-05-17,3.3310
1994-05-18,3.3340
1994-05-19,3.3160
1994-05-20,3.3125
1994-05-23,3.3000
1994-05-24,3.2860
1994-05-25,3.3000
1994-05-26,3.3150
1994-05-27,3.3150
1994-05-30,.
1994-05-31,3.3320
1994-06-01,3.3300
1994-06-02,3.3200
1994-06-03,3.3250
1994-06-06,3.3300
1994-06-07,3.3600
1994-06-08,3.3570
1994-06-09,3.3620
1994-06-10,3.3650
1994-06-13,3.3735
1994-06-14,3.3730
1994-06-15,3.3680
1994-06-16,3.3680
1994-06-17,3.3650
1994-06-20,3.3720
1994-06-21,3.3750
1994-06-22,3.3780
1994-06-23,3.3900
1994-06-24,3.3900
1994-06-27,3.3950
1994-06-28,3.3910
1994-06-29,3.3890
1994-06-30,3.4000
1994-07-01,3.3950
1994-07-04,.
1994-07-05,3.4000
1994-07-06,3.3958
1994-07-07,3.4050
1994-07-08,3.4050
1994-07-11,3.4050
1994-07-12,3.4025
1994-07-13,3.4050
1994-07-14,3.4030
1994-07-15,3.4030
1994-07-18,3.4050
1994-07-19,3.4020
1994-07-20,3.4054
1994-07-21,3.4035
1994-07-22,3.4050
1994-07-25,3.4045
1994-07-26,3.4078
1994-07-27,3.4060
1994-07-28,3.3980
1994-07-29,3.4050
1994-08-01,3.4005
1994-08-02,3.3860
1994-08-03,3.3800
1994-08-04,3.3800
1994-08-05,3.3810
1994-08-08,3.3870
1994-08-09,3.3870
1994-08-10,3.4000
1994-08-11,3.4050
1994-08-12,3.4020
1994-08-15,3.4030
1994-08-16,3.4080
1994-08-17,3.3970
1994-08-18,3.3800
1994-08-19,3.3765
1994-08-22,3.3300
1994-08-23,3.3370
1994-08-24,3.3480
1994-08-25,3.3580
1994-08-26,3.3670
1994-08-29,3.3830
1994-08-30,3.3880
1994-08-31,3.3890
1994-09-01,3.3925
1994-09-02,3.3750
1994-09-05,.
1994-09-06,3.4000
1994-09-07,3.3965
1994-09-08,3.4010
1994-09-09,3.4150
1994-09-12,3.4130
1994-09-13,3.4170
1994-09-14,3.4160
1994-09-15,3.4150
1994-09-16,3.3980
1994-09-19,3.4080
1994-09-20,3.4100
1994-09-21,3.4040
1994-09-22,3.4090
1994-09-23,3.3990
1994-09-26,3.3730
