DATE,VALUE
1971-01-04,7.1359
1971-01-05,7.1422
1971-01-06,7.1367
1971-01-07,7.1386
1971-01-08,7.1382
1971-01-11,7.1390
1971-01-12,7.1411
1971-01-13,7.1390
1971-01-14,7.1403
1971-01-15,7.1414
1971-01-18,7.1406
1971-01-19,7.1429
1971-01-20,7.1429
1971-01-21,7.1443
1971-01-22,7.1429
1971-01-25,7.1435
1971-01-26,7.1443
1971-01-27,7.1414
1971-01-28,7.1431
1971-01-29,7.1445
1971-02-01,7.1465
1971-02-02,7.1465
1971-02-03,7.1439
1971-02-04,7.1431
1971-02-05,7.1435
1971-02-08,7.1429
1971-02-09,7.1397
1971-02-10,7.1412
1971-02-11,7.1410
1971-02-12,.
1971-02-15,.
1971-02-16,7.1406
1971-02-17,7.1390
1971-02-18,7.1418
1971-02-19,7.1437
1971-02-22,7.1434
1971-02-23,7.1429
1971-02-24,7.1418
1971-02-25,7.1414
1971-02-26,7.1420
1971-03-01,7.1416
1971-03-02,7.1413
1971-03-03,7.1376
1971-03-04,7.1389
1971-03-05,7.1382
1971-03-08,7.1365
1971-03-09,7.1352
1971-03-10,7.1352
1971-03-11,7.1367
1971-03-12,7.1363
1971-03-15,7.1380
1971-03-16,7.1380
1971-03-17,7.1390
1971-03-18,7.1390
1971-03-19,7.1387
1971-03-22,7.1412
1971-03-23,7.1414
1971-03-24,7.1390
1971-03-25,7.1388
1971-03-26,7.1365
1971-03-29,7.1348
1971-03-30,7.1327
1971-03-31,7.1314
1971-04-01,7.1325
1971-04-02,7.1329
1971-04-05,7.1329
1971-04-06,7.1291
1971-04-07,7.1289
1971-04-08,7.1284
1971-04-09,7.1278
1971-04-12,7.1289
1971-04-13,7.1304
1971-04-14,7.1286
1971-04-15,7.1276
1971-04-16,7.1273
1971-04-19,7.1259
1971-04-20,7.1253
1971-04-21,7.1236
1971-04-22,7.1268
1971-04-23,7.1289
1971-04-26,7.1289
1971-04-27,7.1301
1971-04-28,7.1263
1971-04-29,7.1291
1971-04-30,7.1312
1971-05-03,7.1309
1971-05-04,7.1308
1971-05-05,7.1279
1971-05-06,7.1240
1971-05-07,7.1247
1971-05-10,7.1103
1971-05-11,7.1138
1971-05-12,7.1162
1971-05-13,7.1133
1971-05-14,7.1111
1971-05-17,7.1116
1971-05-18,7.1080
1971-05-19,7.1076
1971-05-20,7.1086
1971-05-21,7.1086
1971-05-24,7.1066
1971-05-25,7.1086
1971-05-26,7.1083
1971-05-27,7.1084
1971-05-28,7.1115
1971-05-31,.
1971-06-01,7.1136
1971-06-02,7.1132
1971-06-03,7.1136
1971-06-04,7.1143
1971-06-07,7.1126
1971-06-08,7.1130
1971-06-09,7.1111
1971-06-10,7.1111
1971-06-11,7.1111
1971-06-14,7.1114
1971-06-15,7.1136
1971-06-16,7.1124
1971-06-17,7.1128
1971-06-18,7.1134
1971-06-21,7.1114
1971-06-22,7.1115
1971-06-23,7.1088
1971-06-24,7.1092
1971-06-25,7.1084
1971-06-28,7.1071
1971-06-29,7.1066
1971-06-30,7.1048
1971-07-01,7.1065
1971-07-02,7.1066
1971-07-05,.
1971-07-06,7.1086
1971-07-07,7.1061
1971-07-08,7.1063
1971-07-09,7.1061
1971-07-12,7.1061
1971-07-13,7.1048
1971-07-14,7.1023
1971-07-15,7.1021
1971-07-16,7.1035
1971-07-19,7.1034
1971-07-20,7.1048
1971-07-21,7.1035
1971-07-22,7.1040
1971-07-23,7.1061
1971-07-26,7.1086
1971-07-27,7.1105
1971-07-28,7.1084
1971-07-29,7.1080
1971-07-30,7.1066
1971-08-02,7.1068
1971-08-03,7.1076
1971-08-04,7.1059
1971-08-05,7.1035
1971-08-06,7.1035
1971-08-09,7.1017
1971-08-10,7.0972
1971-08-11,7.0950
1971-08-12,7.0947
1971-08-13,7.0937
1971-08-16,.
1971-08-17,.
1971-08-18,.
1971-08-19,.
1971-08-20,.
1971-08-23,6.9727
1971-08-24,6.9234
1971-08-25,6.8999
1971-08-26,6.8776
1971-08-27,6.8861
1971-08-30,6.8884
1971-08-31,6.9143
1971-09-01,6.9216
1971-09-02,6.9210
1971-09-03,6.9144
1971-09-06,.
1971-09-07,6.9380
1971-09-08,6.9292
1971-09-09,6.9292
1971-09-10,6.9264
1971-09-13,6.9230
1971-09-14,6.9204
1971-09-15,6.9125
1971-09-16,6.9091
1971-09-17,6.8975
1971-09-20,6.8764
1971-09-21,6.8766
1971-09-22,6.8806
1971-09-23,6.8816
1971-09-24,6.8501
1971-09-27,6.8579
1971-09-28,6.8819
1971-09-29,6.8697
1971-09-30,6.8672
1971-10-01,6.8611
1971-10-04,6.8521
1971-10-05,6.8493
1971-10-06,6.8479
1971-10-07,6.8460
1971-10-08,6.8438
1971-10-11,.
1971-10-12,6.8416
1971-10-13,6.8411
1971-10-14,6.8443
1971-10-15,6.8480
1971-10-18,6.8481
1971-10-19,6.8526
1971-10-20,6.8515
1971-10-21,6.8528
1971-10-22,6.8533
1971-10-25,.
1971-10-26,6.8528
1971-10-27,6.8523
1971-10-28,6.8540
1971-10-29,6.8538
1971-11-01,6.8543
1971-11-02,.
1971-11-03,6.8621
1971-11-04,6.8640
1971-11-05,6.8634
1971-11-08,6.8672
1971-11-09,6.8684
1971-11-10,6.8681
1971-11-11,6.8681
1971-11-12,6.8658
1971-11-15,6.8687
1971-11-16,6.8709
1971-11-17,6.8693
1971-11-18,6.8703
1971-11-19,6.8674
1971-11-22,6.8678
1971-11-23,6.8564
1971-11-24,6.8390
1971-11-25,.
1971-11-26,6.8338
1971-11-29,6.8283
1971-11-30,6.8376
1971-12-01,6.8386
1971-12-02,6.8190
1971-12-03,6.8058
1971-12-06,6.8068
1971-12-07,6.7688
1971-12-08,6.7696
1971-12-09,6.7686
1971-12-10,6.7636
1971-12-13,6.7564
1971-12-14,6.7407
1971-12-15,6.7509
1971-12-16,6.7429
1971-12-17,6.7448
1971-12-20,.
1971-12-21,6.7233
1971-12-22,6.7052
1971-12-23,6.7019
1971-12-24,6.7019
1971-12-27,6.7086
1971-12-28,6.7159
1971-12-29,6.7383
1971-12-30,6.7135
1971-12-31,6.7069
1972-01-03,6.7035
1972-01-04,6.7159
1972-01-05,6.7204
1972-01-06,6.7221
1972-01-07,6.7227
1972-01-10,6.7261
1972-01-11,6.7238
1972-01-12,6.7249
1972-01-13,6.7227
1972-01-14,6.7227
1972-01-17,6.6934
1972-01-18,6.7002
1972-01-19,6.6890
1972-01-20,6.6934
1972-01-21,6.6934
1972-01-24,6.6878
1972-01-25,6.6890
1972-01-26,6.6890
1972-01-27,6.6934
1972-01-28,6.6934
1972-01-31,6.6912
1972-02-01,6.6979
1972-02-02,6.6845
1972-02-03,6.6811
1972-02-04,6.6979
1972-02-07,6.6800
1972-02-08,6.6711
1972-02-09,6.6600
1972-02-10,6.6556
1972-02-11,6.6556
1972-02-14,6.6622
1972-02-15,6.6622
1972-02-16,6.6511
1972-02-17,6.6225
1972-02-18,6.6247
1972-02-21,.
1972-02-22,6.6357
1972-02-23,6.6291
1972-02-24,6.6225
1972-02-25,6.6280
1972-02-28,6.6269
1972-02-29,6.6269
1972-03-01,6.6192
1972-03-02,6.6203
1972-03-03,6.6181
1972-03-06,6.6138
1972-03-07,6.6007
1972-03-08,6.5985
1972-03-09,6.5531
1972-03-10,6.5574
1972-03-13,6.5531
1972-03-14,6.5703
1972-03-15,6.5920
1972-03-16,6.5789
1972-03-17,6.5963
1972-03-20,6.6225
1972-03-21,6.5941
1972-03-22,6.5854
1972-03-23,6.6050
1972-03-24,6.6159
1972-03-27,6.6094
1972-03-28,6.6050
1972-03-29,6.5985
1972-03-30,6.5985
1972-03-31,6.6007
1972-04-03,6.5985
1972-04-04,6.6007
1972-04-05,6.5941
1972-04-06,6.5854
1972-04-07,6.5920
1972-04-10,6.5854
1972-04-11,6.5811
1972-04-12,6.5822
1972-04-13,6.5963
1972-04-14,6.6007
1972-04-17,6.6094
1972-04-18,6.6159
1972-04-19,6.6236
1972-04-20,6.6094
1972-04-21,6.6094
1972-04-24,6.6072
1972-04-25,6.6072
1972-04-26,6.5996
1972-04-27,6.6050
1972-04-28,6.6028
1972-05-01,6.5996
1972-05-02,6.6039
1972-05-03,6.6028
1972-05-04,6.6050
1972-05-05,6.6028
1972-05-08,6.6017
1972-05-09,6.5898
1972-05-10,6.5703
1972-05-11,6.5660
1972-05-12,6.5789
1972-05-15,6.5768
1972-05-16,6.5768
1972-05-17,6.5735
1972-05-18,6.5595
1972-05-19,6.5617
1972-05-22,6.5595
1972-05-23,6.5574
1972-05-24,6.5466
1972-05-25,6.5574
1972-05-26,6.5574
1972-05-29,.
1972-05-30,6.5317
1972-05-31,6.5274
1972-06-01,6.5274
1972-06-02,6.4851
1972-06-05,6.5402
1972-06-06,6.5381
1972-06-07,6.5370
1972-06-08,6.5402
1972-06-09,6.5466
1972-06-12,6.5381
1972-06-13,6.5359
1972-06-14,6.5147
1972-06-15,6.5125
1972-06-16,6.5445
1972-06-19,6.5274
1972-06-20,6.5531
1972-06-21,6.5563
1972-06-22,6.5963
1972-06-23,6.5232
1972-06-26,6.5531
1972-06-27,6.5574
1972-06-28,6.5062
1972-06-29,6.5189
1972-06-30,6.5147
1972-07-03,6.5019
1972-07-04,.
1972-07-05,6.4998
1972-07-06,6.4977
1972-07-07,6.4956
1972-07-10,6.4977
1972-07-11,6.4977
1972-07-12,6.4977
1972-07-13,6.4977
1972-07-14,6.4977
1972-07-17,6.4977
1972-07-18,6.4977
1972-07-19,6.5019
1972-07-20,6.5168
1972-07-21,6.5083
1972-07-24,6.5253
1972-07-25,6.5274
1972-07-26,6.5189
1972-07-27,6.5232
1972-07-28,6.5232
1972-07-31,6.5274
1972-08-01,6.5253
1972-08-02,6.5189
1972-08-03,6.5189
1972-08-04,6.5189
1972-08-07,6.5210
1972-08-08,6.5189
1972-08-09,6.5168
1972-08-10,6.5189
1972-08-11,6.5168
1972-08-14,6.5168
1972-08-15,6.5168
1972-08-16,6.5147
1972-08-17,6.5189
1972-08-18,6.5189
1972-08-21,6.5253
1972-08-22,6.5210
1972-08-23,6.5189
1972-08-24,6.5189
1972-08-25,6.5178
1972-08-28,6.5253
1972-08-29,6.5285
1972-08-30,6.5274
1972-08-31,6.5424
1972-09-01,6.5466
1972-09-04,.
1972-09-05,6.5552
1972-09-06,6.5552
1972-09-07,6.5424
1972-09-08,6.5381
1972-09-11,6.5445
1972-09-12,6.5595
1972-09-13,6.5531
1972-09-14,6.5531
1972-09-15,6.5542
1972-09-18,6.5735
1972-09-19,6.5844
1972-09-20,6.5757
1972-09-21,6.5898
1972-09-22,6.5876
1972-09-25,6.6072
1972-09-26,6.6357
1972-09-27,6.6094
1972-09-28,6.6159
1972-09-29,6.6203
1972-10-02,6.6247
1972-10-03,6.6203
1972-10-04,6.6083
1972-10-05,6.5811
1972-10-06,6.5887
1972-10-09,.
1972-10-10,6.5963
1972-10-11,6.5898
1972-10-12,6.5963
1972-10-13,6.5800
1972-10-16,6.5811
1972-10-17,6.5768
1972-10-18,6.5746
1972-10-19,6.5876
1972-10-20,6.5898
1972-10-23,.
1972-10-24,6.6138
1972-10-25,6.6203
1972-10-26,6.6445
1972-10-27,6.6401
1972-10-30,6.6357
1972-10-31,6.6423
1972-11-01,6.6401
1972-11-02,6.6423
1972-11-03,6.6390
1972-11-06,6.6335
1972-11-07,.
1972-11-08,6.6225
1972-11-09,6.6247
1972-11-10,6.6148
1972-11-13,6.6148
1972-11-14,6.6170
1972-11-15,6.6159
1972-11-16,6.6094
1972-11-17,6.6028
1972-11-20,6.5833
1972-11-21,6.5746
1972-11-22,6.5746
1972-11-23,.
1972-11-24,6.5779
1972-11-27,6.5703
1972-11-28,6.5660
1972-11-29,6.5703
1972-11-30,6.5746
1972-12-01,6.5822
1972-12-04,6.5811
1972-12-05,6.5789
1972-12-06,6.5649
1972-12-07,6.5660
1972-12-08,6.5595
1972-12-11,6.5509
1972-12-12,6.5424
1972-12-13,6.5784
1972-12-14,6.5789
1972-12-15,6.5811
1972-12-18,6.5833
1972-12-19,6.5833
1972-12-20,6.5725
1972-12-21,6.5876
1972-12-22,6.6028
1972-12-25,.
1972-12-26,6.6028
1972-12-27,6.6072
1972-12-28,6.6489
1972-12-29,6.6412
1973-01-01,.
1973-01-02,6.6291
1973-01-03,6.6159
1973-01-04,6.6203
1973-01-05,6.6203
1973-01-08,6.6159
1973-01-09,6.5941
1973-01-10,6.6148
1973-01-11,6.6181
1973-01-12,6.6181
1973-01-15,6.6203
1973-01-16,6.6280
1973-01-17,6.6280
1973-01-18,6.6313
1973-01-19,6.6313
1973-01-22,6.6313
1973-01-23,6.6148
1973-01-24,6.6225
1973-01-25,6.5963
1973-01-26,6.5941
1973-01-29,6.5920
1973-01-30,6.5531
1973-01-31,6.5327
1973-02-01,6.4998
1973-02-02,6.5062
1973-02-05,6.5424
1973-02-06,6.5147
1973-02-07,6.5147
1973-02-08,6.5232
1973-02-09,6.4967
1973-02-12,.
1973-02-13,6.2500
1973-02-14,6.3012
1973-02-15,6.0350
1973-02-16,6.0314
1973-02-19,.
1973-02-20,6.0680
1973-02-21,6.0569
1973-02-22,6.0441
1973-02-23,6.0060
1973-02-26,6.0132
1973-02-27,6.0060
1973-02-28,5.9773
1973-03-01,5.8514
1973-03-02,5.6593
1973-03-05,5.8480
1973-03-06,5.8651
1973-03-07,5.8997
1973-03-08,5.8720
1973-03-09,5.9172
1973-03-12,5.9242
1973-03-13,5.9207
1973-03-14,6.0205
1973-03-15,5.9595
1973-03-16,5.8997
1973-03-19,5.9488
1973-03-20,5.9347
1973-03-21,5.9347
1973-03-22,5.9137
1973-03-23,5.9032
1973-03-26,5.8997
1973-03-27,5.8997
1973-03-28,5.8997
1973-03-29,5.9032
1973-03-30,5.9032
1973-04-02,5.9294
1973-04-03,5.9471
1973-04-04,5.9067
1973-04-05,5.9102
1973-04-06,5.9067
1973-04-09,5.9032
1973-04-10,5.9032
1973-04-11,5.8962
1973-04-12,5.8945
1973-04-13,5.8997
1973-04-16,5.9067
1973-04-17,5.9084
1973-04-18,5.9137
1973-04-19,5.9102
1973-04-20,5.9102
1973-04-23,5.9032
1973-04-24,5.9242
1973-04-25,5.9330
1973-04-26,5.9347
1973-04-27,5.9471
1973-04-30,5.9382
1973-05-01,5.9382
1973-05-02,5.9330
1973-05-03,5.9259
1973-05-04,5.9312
1973-05-07,5.9312
1973-05-08,5.9242
1973-05-09,5.9067
1973-05-10,5.9102
1973-05-11,5.9014
1973-05-14,5.8173
1973-05-15,5.7471
1973-05-16,5.7854
1973-05-17,5.7904
1973-05-18,5.7703
1973-05-21,5.6883
1973-05-22,5.7045
1973-05-23,5.7176
1973-05-24,5.7110
1973-05-25,5.7438
1973-05-28,.
1973-05-29,5.7013
1973-05-30,5.6657
1973-05-31,5.6593
1973-06-01,5.6148
1973-06-04,5.4945
1973-06-05,5.5127
1973-06-06,5.6180
1973-06-07,5.6180
1973-06-08,5.5866
1973-06-11,5.5835
1973-06-12,5.5648
1973-06-13,5.5804
1973-06-14,5.5617
1973-06-15,5.5127
1973-06-18,5.4615
1973-06-19,5.4794
1973-06-20,5.4915
1973-06-21,5.4825
1973-06-22,5.4645
1973-06-25,5.4348
1973-06-26,5.4496
1973-06-27,5.3763
1973-06-28,5.2910
1973-06-29,5.2910
1973-07-02,5.2604
1973-07-03,5.2798
1973-07-04,.
1973-07-05,5.2493
1973-07-06,5.1282
1973-07-09,5.1546
1973-07-10,5.2770
1973-07-11,5.3850
1973-07-12,5.3619
1973-07-13,5.3735
1973-07-16,5.3677
1973-07-17,5.3050
1973-07-18,5.2632
1973-07-19,5.2632
1973-07-20,5.2798
1973-07-23,5.2687
1973-07-24,5.2715
1973-07-25,5.2715
1973-07-26,5.2493
1973-07-27,5.2743
1973-07-30,5.3191
1973-07-31,5.3333
1973-08-01,5.3050
1973-08-02,5.3191
1973-08-03,5.3362
