DATE,VALUE
1971-01-04,5.1643
1971-01-05,5.1628
1971-01-06,5.1614
1971-01-07,5.1649
1971-01-08,5.1631
1971-01-11,5.1642
1971-01-12,5.1643
1971-01-13,5.1615
1971-01-14,5.1625
1971-01-15,5.1640
1971-01-18,5.1651
1971-01-19,5.1657
1971-01-20,5.1636
1971-01-21,5.1648
1971-01-22,5.1626
1971-01-25,5.1626
1971-01-26,5.1640
1971-01-27,5.1635
1971-01-28,5.1653
1971-01-29,5.1675
1971-02-01,5.1778
1971-02-02,5.1778
1971-02-03,5.1742
1971-02-04,5.1733
1971-02-05,5.1784
1971-02-08,5.1813
1971-02-09,5.1811
1971-02-10,5.1799
1971-02-11,5.1778
1971-02-12,.
1971-02-15,.
1971-02-16,5.1752
1971-02-17,5.1706
1971-02-18,5.1700
1971-02-19,5.1692
1971-02-22,5.1664
1971-02-23,5.1610
1971-02-24,5.1631
1971-02-25,5.1652
1971-02-26,5.1652
1971-03-01,5.1631
1971-03-02,5.1638
1971-03-03,5.1622
1971-03-04,5.1631
1971-03-05,5.1631
1971-03-08,5.1635
1971-03-09,5.1644
1971-03-10,5.1625
1971-03-11,5.1636
1971-03-12,5.1626
1971-03-15,5.1626
1971-03-16,5.1623
1971-03-17,5.1613
1971-03-18,5.1625
1971-03-19,5.1621
1971-03-22,5.1617
1971-03-23,5.1620
1971-03-24,5.1613
1971-03-25,5.1626
1971-03-26,5.1637
1971-03-29,5.1648
1971-03-30,5.1631
1971-03-31,5.1624
1971-04-01,5.1645
1971-04-02,5.1644
1971-04-05,5.1646
1971-04-06,5.1628
1971-04-07,5.1637
1971-04-08,5.1653
1971-04-09,5.1650
1971-04-12,5.1646
1971-04-13,5.1653
1971-04-14,5.1644
1971-04-15,5.1633
1971-04-16,5.1615
1971-04-19,5.1619
1971-04-20,5.1623
1971-04-21,5.1611
1971-04-22,5.1620
1971-04-23,5.1612
1971-04-26,5.1624
1971-04-27,5.1615
1971-04-28,5.1615
1971-04-29,5.1616
1971-04-30,5.1614
1971-05-03,5.1620
1971-05-04,5.1613
1971-05-05,5.1673
1971-05-06,5.1724
1971-05-07,5.1726
1971-05-10,5.1683
1971-05-11,5.1731
1971-05-12,5.1714
1971-05-13,5.1655
1971-05-14,5.1664
1971-05-17,5.1634
1971-05-18,5.1622
1971-05-19,5.1645
1971-05-20,5.1649
1971-05-21,5.1645
1971-05-24,5.1630
1971-05-25,5.1644
1971-05-26,5.1632
1971-05-27,5.1653
1971-05-28,5.1648
1971-05-31,.
1971-06-01,5.1661
1971-06-02,5.1675
1971-06-03,5.1650
1971-06-04,5.1645
1971-06-07,5.1639
1971-06-08,5.1640
1971-06-09,5.1626
1971-06-10,5.1632
1971-06-11,5.1620
1971-06-14,5.1628
1971-06-15,5.1651
1971-06-16,5.1643
1971-06-17,5.1626
1971-06-18,5.1625
1971-06-21,5.1621
1971-06-22,5.1614
1971-06-23,5.1586
1971-06-24,5.1593
1971-06-25,5.1585
1971-06-28,5.1613
1971-06-29,5.1591
1971-06-30,5.1588
1971-07-01,5.1600
1971-07-02,5.1616
1971-07-05,.
1971-07-06,5.1638
1971-07-07,5.1634
1971-07-08,5.1652
1971-07-09,5.1661
1971-07-12,5.1680
1971-07-13,5.1682
1971-07-14,5.1643
1971-07-15,5.1605
1971-07-16,5.1621
1971-07-19,5.1634
1971-07-20,5.1614
1971-07-21,5.1594
1971-07-22,5.1600
1971-07-23,5.1597
1971-07-26,5.1609
1971-07-27,5.1607
1971-07-28,5.1596
1971-07-29,5.1599
1971-07-30,5.1591
1971-08-02,5.1600
1971-08-03,5.1615
1971-08-04,5.1593
1971-08-05,5.1596
1971-08-06,5.1597
1971-08-09,5.1598
1971-08-10,5.1624
1971-08-11,5.1614
1971-08-12,5.1630
1971-08-13,5.1593
1971-08-16,.
1971-08-17,.
1971-08-18,.
1971-08-19,.
1971-08-20,.
1971-08-23,5.1053
1971-08-24,5.0889
1971-08-25,5.0855
1971-08-26,5.0787
1971-08-27,5.0671
1971-08-30,5.0633
1971-08-31,5.0793
1971-09-01,5.0933
1971-09-02,5.0879
1971-09-03,5.0807
1971-09-06,.
1971-09-07,5.0839
1971-09-08,5.0913
1971-09-09,5.0913
1971-09-10,5.0897
1971-09-13,5.0845
1971-09-14,5.0798
1971-09-15,5.0747
1971-09-16,5.0736
1971-09-17,5.0715
1971-09-20,5.0656
1971-09-21,5.0581
1971-09-22,5.0599
1971-09-23,5.0580
1971-09-24,5.0314
1971-09-27,5.0470
1971-09-28,5.0452
1971-09-29,5.0355
1971-09-30,5.0273
1971-10-01,5.0176
1971-10-04,5.0163
1971-10-05,5.0201
1971-10-06,5.0130
1971-10-07,5.0177
1971-10-08,5.0176
1971-10-11,.
1971-10-12,5.0221
1971-10-13,5.0272
1971-10-14,5.0314
1971-10-15,5.0302
1971-10-18,5.0286
1971-10-19,5.0256
1971-10-20,5.0263
1971-10-21,5.0262
1971-10-22,5.0217
1971-10-25,.
1971-10-26,5.0164
1971-10-27,5.0173
1971-10-28,5.0176
1971-10-29,5.0196
1971-11-01,5.0247
1971-11-02,.
