DATE,VALUE
1981-01-02,2.0930
1981-01-05,2.0810
1981-01-06,2.0800
1981-01-07,2.0800
1981-01-08,2.0815
1981-01-09,2.0865
1981-01-12,2.0835
1981-01-13,2.0945
1981-01-14,2.0875
1981-01-15,2.0850
1981-01-16,2.0790
1981-01-19,2.0765
1981-01-20,2.0720
1981-01-21,2.0675
1981-01-22,2.0790
1981-01-23,2.0820
1981-01-26,2.0830
1981-01-27,2.0790
1981-01-28,2.0725
1981-01-29,2.0740
1981-01-30,2.0880
1981-02-02,2.0800
1981-02-03,2.0800
1981-02-04,2.0700
1981-02-05,2.0730
1981-02-06,2.0770
1981-02-09,2.0740
1981-02-10,2.0810
1981-02-11,2.0765
1981-02-12,.
1981-02-13,2.0950
1981-02-16,.
1981-02-17,2.0965
1981-02-18,2.0970
1981-02-19,2.0930
1981-02-20,2.0850
1981-02-23,2.0920
1981-02-24,2.0970
1981-02-25,2.0985
1981-02-26,2.0960
1981-02-27,2.1030
1981-03-02,2.1080
1981-03-03,2.1100
1981-03-04,2.1065
1981-03-05,2.1105
1981-03-06,2.1090
1981-03-09,2.1040
1981-03-10,2.1015
1981-03-11,2.1000
1981-03-12,2.1115
1981-03-13,2.1060
1981-03-16,2.1010
1981-03-17,2.1000
1981-03-18,2.0810
1981-03-19,2.0850
1981-03-20,2.0880
1981-03-23,2.0995
1981-03-24,2.0970
1981-03-25,2.0910
1981-03-26,2.0945
1981-03-27,2.0910
1981-03-30,2.0865
1981-03-31,2.0910
1981-04-01,2.0900
1981-04-02,2.0930
1981-04-03,2.0960
1981-04-06,2.0990
1981-04-07,2.1040
1981-04-08,2.1020
1981-04-09,2.1005
1981-04-10,2.1030
1981-04-13,2.1105
1981-04-14,2.1145
1981-04-15,2.1150
1981-04-16,2.1130
1981-04-17,2.1180
1981-04-20,2.1200
1981-04-21,2.1240
1981-04-22,2.1210
1981-04-23,2.1200
1981-04-24,2.1200
1981-04-27,2.1120
1981-04-28,2.1140
1981-04-29,2.1210
1981-04-30,2.1200
1981-05-01,2.1240
1981-05-04,2.1310
1981-05-05,2.1405
1981-05-06,2.1380
1981-05-07,2.1460
1981-05-08,2.1320
1981-05-11,2.1435
1981-05-12,2.1540
1981-05-13,2.1545
1981-05-14,2.1600
1981-05-15,2.1570
1981-05-18,2.1535
1981-05-19,2.1550
1981-05-20,2.1460
1981-05-21,2.1525
1981-05-22,2.1560
1981-05-25,.
1981-05-26,2.1620
1981-05-27,2.1620
1981-05-28,2.1580
1981-05-29,2.1560
1981-06-01,2.1540
1981-06-02,2.1560
1981-06-03,2.1560
1981-06-04,2.1700
1981-06-05,2.1700
1981-06-08,2.1630
1981-06-09,2.1650
1981-06-10,2.1540
1981-06-11,2.1580
1981-06-12,2.1525
1981-06-15,2.1280
1981-06-16,2.1260
1981-06-17,2.1310
1981-06-18,2.1320
1981-06-19,2.1310
1981-06-22,2.1325
1981-06-23,2.1300
1981-06-24,2.1260
1981-06-25,2.1330
1981-06-26,2.1325
1981-06-29,2.1340
1981-06-30,2.1320
1981-07-01,2.1380
1981-07-02,2.1550
1981-07-03,2.1520
1981-07-06,2.1610
1981-07-07,2.1585
1981-07-08,2.1650
1981-07-09,2.1630
1981-07-10,2.1510
1981-07-13,2.1555
1981-07-14,2.1620
1981-07-15,2.1520
1981-07-16,2.1550
1981-07-17,2.1575
1981-07-20,2.1585
1981-07-21,2.1655
1981-07-22,2.1620
1981-07-23,2.1625
1981-07-24,2.1555
1981-07-27,2.1600
1981-07-28,2.1580
1981-07-29,2.1610
1981-07-30,2.1640
1981-07-31,2.1600
1981-08-03,2.1880
1981-08-04,2.1820
1981-08-05,2.1680
1981-08-06,2.1745
1981-08-07,2.1730
1981-08-10,2.1840
1981-08-11,2.1750
1981-08-12,2.1520
1981-08-13,2.1725
1981-08-14,2.1740
1981-08-17,2.1730
1981-08-18,2.1740
1981-08-19,2.1780
1981-08-20,2.1650
1981-08-21,2.1630
1981-08-24,2.1670
1981-08-25,2.1700
1981-08-26,2.1600
1981-08-27,2.1585
1981-08-28,2.1545
1981-08-31,2.1610
1981-09-01,2.1620
1981-09-02,2.1590
1981-09-03,2.1660
1981-09-04,2.1670
1981-09-07,.
1981-09-08,2.1640
1981-09-09,2.1640
1981-09-10,2.1630
1981-09-11,2.1620
1981-09-14,2.1580
1981-09-15,2.1570
1981-09-16,2.1540
1981-09-17,2.1450
1981-09-18,2.1390
1981-09-21,2.1190
1981-09-22,2.1250
1981-09-23,2.1230
1981-09-24,2.1280
1981-09-25,2.1205
1981-09-28,2.1190
1981-09-29,2.1175
1981-09-30,2.1160
1981-10-01,2.1200
1981-10-02,2.1180
1981-10-05,2.1160
1981-10-06,2.1140
1981-10-07,2.1030
1981-10-08,2.1050
1981-10-09,2.0950
1981-10-12,.
1981-10-13,2.0825
1981-10-14,2.0860
1981-10-15,2.0820
1981-10-16,2.0895
1981-10-19,2.0870
1981-10-20,2.0880
1981-10-21,2.0880
1981-10-22,2.0930
1981-10-23,2.0990
1981-10-26,2.0930
1981-10-27,2.1045
1981-10-28,2.1070
1981-10-29,2.0970
1981-10-30,2.0850
1981-11-02,2.0810
1981-11-03,.
1981-11-04,2.0850
1981-11-05,2.0840
1981-11-06,2.0740
1981-11-09,2.0690
1981-11-10,2.0695
1981-11-11,.
1981-11-12,2.0600
1981-11-13,2.0550
1981-11-16,2.0605
1981-11-17,2.0565
1981-11-18,2.0530
1981-11-19,2.0430
1981-11-20,2.0465
1981-11-23,2.0560
1981-11-24,2.0560
1981-11-25,2.0525
1981-11-26,.
1981-11-27,2.0440
1981-11-30,2.0520
1981-12-01,2.0540
1981-12-02,2.0540
1981-12-03,2.0520
1981-12-04,2.0470
1981-12-07,2.0480
1981-12-08,2.0470
1981-12-09,2.0470
1981-12-10,2.0485
1981-12-11,2.0460
1981-12-14,2.0645
1981-12-15,2.0610
1981-12-16,2.0560
1981-12-17,2.0600
1981-12-18,2.0610
1981-12-21,2.0620
1981-12-22,2.0560
1981-12-23,2.0550
1981-12-24,2.0550
1981-12-25,.
1981-12-28,2.0500
1981-12-29,2.0500
1981-12-30,2.0480
1981-12-31,2.0450
1982-01-01,.
1982-01-04,2.0450
1982-01-05,2.0495
1982-01-06,2.0440
1982-01-07,2.0450
1982-01-08,2.0450
1982-01-11,2.0480
1982-01-12,2.0520
1982-01-13,2.0505
1982-01-14,2.0570
1982-01-15,2.0660
1982-01-18,2.0680
1982-01-19,2.0590
1982-01-20,2.0695
1982-01-21,2.0700
1982-01-22,2.0680
1982-01-25,2.0780
1982-01-26,2.0690
1982-01-27,2.0750
1982-01-28,2.0780
1982-01-29,2.0780
1982-02-01,2.0870
1982-02-02,2.0960
1982-02-03,2.1005
1982-02-04,2.1010
1982-02-05,2.1020
1982-02-08,2.1095
1982-02-09,2.1195
1982-02-10,2.1190
1982-02-11,2.1175
1982-02-12,.
1982-02-15,.
1982-02-16,2.1290
1982-02-17,2.1280
1982-02-18,2.1200
1982-02-19,2.1090
1982-02-22,2.1020
1982-02-23,2.1040
1982-02-24,2.1050
1982-02-25,2.1085
1982-02-26,2.1140
1982-03-01,2.1170
1982-03-02,2.1140
1982-03-03,2.1140
1982-03-04,2.1140
