DATE,VALUE
1983-10-03,39.4200
1983-10-04,39.4200
1983-10-05,39.4200
1983-10-06,39.4200
1983-10-07,39.4200
1983-10-10,.
1983-10-11,39.4200
1983-10-12,39.4200
1983-10-13,39.4200
1983-10-14,39.4200
1983-10-17,39.4200
1983-10-18,39.4200
1983-10-19,39.4200
1983-10-20,39.4200
1983-10-21,39.4200
1983-10-24,39.4200
1983-10-25,39.4200
1983-10-26,39.4200
1983-10-27,39.4200
1983-10-28,39.4200
1983-10-31,39.4200
1983-11-01,39.4200
1983-11-02,39.4200
1983-11-03,39.4200
1983-11-04,38.6600
1983-11-07,38.6600
1983-11-08,.
1983-11-09,38.6600
1983-11-10,38.6600
1983-11-11,.
1983-11-14,38.6600
1983-11-15,38.6600
1983-11-16,38.6600
1983-11-17,38.6600
1983-11-18,38.6600
1983-11-21,38.6600
1983-11-22,38.6600
1983-11-23,38.6600
1983-11-24,.
1983-11-25,38.6600
1983-11-28,38.6600
1983-11-29,38.6600
1983-11-30,38.6600
1983-12-01,38.6600
1983-12-02,38.6600
1983-12-05,38.6600
1983-12-06,38.6600
1983-12-07,38.6600
1983-12-08,38.6600
1983-12-09,38.6600
1983-12-12,38.6600
1983-12-13,40.2000
1983-12-14,40.2000
1983-12-15,40.2000
1983-12-16,40.2000
1983-12-19,40.2000
1983-12-20,40.2000
1983-12-21,40.2000
1983-12-22,40.2000
1983-12-23,40.2000
1983-12-26,.
1983-12-27,40.2000
1983-12-28,40.2000
1983-12-29,40.2000
1983-12-30,40.2000
1984-01-02,.
1984-01-03,40.2000
1984-01-04,40.2000
1984-01-05,40.2000
1984-01-06,40.2000
1984-01-09,40.2000
1984-01-10,40.2000
1984-01-11,40.2000
1984-01-12,40.2000
1984-01-13,40.2000
1984-01-16,40.2000
1984-01-17,40.2000
1984-01-18,40.2000
1984-01-19,40.2000
1984-01-20,40.2000
1984-01-23,.
1984-01-24,.
1984-01-25,.
1984-01-26,.
1984-01-27,40.2300
1984-01-30,40.2300
1984-01-31,40.2300
1984-02-01,.
1984-02-02,.
1984-02-03,.
1984-02-06,40.2300
1984-02-07,40.2300
1984-02-08,40.2300
1984-02-09,40.2300
1984-02-10,40.2300
1984-02-13,.
1984-02-14,40.2300
1984-02-15,40.2300
1984-02-16,40.2300
1984-02-17,40.2300
1984-02-20,.
1984-02-21,40.2300
1984-02-22,40.2400
1984-02-23,40.2500
1984-02-24,40.2600
1984-02-27,40.2500
1984-02-28,40.2600
1984-02-29,40.2200
1984-03-01,40.2000
1984-03-02,40.1900
1984-03-05,40.1800
1984-03-06,40.1800
1984-03-07,40.1700
1984-03-08,40.1500
1984-03-09,40.1400
1984-03-12,40.1100
1984-03-13,40.1000
1984-03-14,.
1984-03-15,40.0700
1984-03-16,40.0500
1984-03-19,40.0400
1984-03-20,40.0400
1984-03-21,40.0200
1984-03-22,40.0000
1984-03-23,39.9800
1984-03-26,39.9600
1984-03-27,40.0000
1984-03-28,40.0000
1984-03-29,.
1984-03-30,39.9900
1984-04-02,39.9500
1984-04-03,39.9300
1984-04-04,.
1984-04-05,39.9200
1984-04-06,39.9000
1984-04-09,.
1984-04-10,39.8400
1984-04-11,.
1984-04-12,.
1984-04-13,39.8100
1984-04-16,39.7800
1984-04-17,39.7600
1984-04-18,39.7500
1984-04-19,39.7400
1984-04-20,39.7300
1984-04-23,.
1984-04-24,39.7000
1984-04-25,39.6900
1984-04-26,39.6800
1984-04-27,39.6800
1984-04-30,39.6800
1984-05-01,.
1984-05-02,39.6700
1984-05-03,39.6600
1984-05-04,39.6500
1984-05-07,39.6400
1984-05-08,39.6300
1984-05-09,39.6300
1984-05-10,39.6300
1984-05-11,39.6300
1984-05-14,39.6400
1984-05-15,39.6400
1984-05-16,39.6400
1984-05-17,39.6500
1984-05-18,39.6800
1984-05-21,39.7500
1984-05-22,39.7600
1984-05-23,39.7700
1984-05-24,39.7900
1984-05-25,39.8200
1984-05-28,.
1984-05-29,39.8900
1984-05-30,39.9200
1984-05-31,39.9400
1984-06-01,39.9600
1984-06-04,39.9970
1984-06-05,39.9700
1984-06-06,39.9700
1984-06-07,39.9500
1984-06-08,39.9100
1984-06-11,39.8600
1984-06-12,39.8300
1984-06-13,39.7900
1984-06-14,39.7400
1984-06-15,39.7600
1984-06-18,39.8100
1984-06-19,39.8500
1984-06-20,39.8500
1984-06-21,39.8400
1984-06-22,39.8300
1984-06-25,39.8000
1984-06-26,39.7800
1984-06-27,39.7600
1984-06-28,39.7400
1984-06-29,39.7100
1984-07-02,39.6800
1984-07-03,39.6600
1984-07-04,.
1984-07-05,39.6200
1984-07-06,39.6000
1984-07-09,39.5600
1984-07-10,39.5400
1984-07-11,39.4300
1984-07-12,39.5100
1984-07-13,.
1984-07-16,39.5100
1984-07-17,39.5200
1984-07-18,39.5200
1984-07-19,39.4900
1984-07-20,39.4700
1984-07-23,.
1984-07-24,39.4100
1984-07-25,39.3800
1984-07-26,39.3500
1984-07-27,39.3200
1984-07-30,39.2600
1984-07-31,39.2300
1984-08-01,39.2000
1984-08-02,39.1700
1984-08-03,.
1984-08-06,39.1100
1984-08-07,39.0800
1984-08-08,39.0800
1984-08-09,39.0900
1984-08-10,39.0800
1984-08-13,.
1984-08-14,39.0800
1984-08-15,39.0800
1984-08-16,39.0800
1984-08-17,39.0800
1984-08-20,39.0800
1984-08-21,39.0800
1984-08-22,39.0800
1984-08-23,39.0800
1984-08-24,39.0800
1984-08-27,39.0800
1984-08-28,39.0800
1984-08-29,39.0800
1984-08-30,39.0800
1984-08-31,39.0800
1984-09-03,.
1984-09-04,39.0800
1984-09-05,39.0800
1984-09-06,39.0800
1984-09-07,.
1984-09-10,.
1984-09-11,39.0800
1984-09-12,39.0900
1984-09-13,39.1100
1984-09-14,39.1200
1984-09-17,39.1400
1984-09-18,39.1500
1984-09-19,39.1700
1984-09-20,39.1900
1984-09-21,39.2100
1984-09-24,39.2500
1984-09-25,39.2700
1984-09-26,39.2700
1984-09-27,39.2500
1984-09-28,.
1984-10-01,39.2100
1984-10-02,39.1800
1984-10-03,39.1600
1984-10-04,39.1400
1984-10-05,39.1200
1984-10-08,.
1984-10-09,39.1100
1984-10-10,.
1984-10-11,39.1200
1984-10-12,39.1400
1984-10-15,39.1800
1984-10-16,39.2000
1984-10-17,39.2200
1984-10-18,39.2400
1984-10-19,39.2600
1984-10-22,39.3000
1984-10-23,39.3200
1984-10-24,39.3500
1984-10-25,.
1984-10-26,39.3700
1984-10-29,39.3500
1984-10-30,39.3300
1984-10-31,.
1984-11-01,39.3000
1984-11-02,39.2800
1984-11-05,39.2400
1984-11-06,.
1984-11-07,39.2800
1984-11-08,39.3000
1984-11-09,39.3200
1984-11-12,.
1984-11-13,39.3800
1984-11-14,39.4000
1984-11-15,39.4200
1984-11-16,39.4400
1984-11-19,39.4900
1984-11-20,39.5100
1984-11-21,39.5300
1984-11-22,.
1984-11-23,39.5500
1984-11-26,39.5000
1984-11-27,39.4800
1984-11-28,39.5000
1984-11-29,39.5200
1984-11-30,39.5300
1984-12-03,39.5200
1984-12-04,39.4800
1984-12-05,39.4600
1984-12-06,39.4600
1984-12-07,39.4800
1984-12-10,39.5200
1984-12-11,39.4900
1984-12-12,39.4800
1984-12-13,39.5000
1984-12-14,39.5300
1984-12-17,39.5400
1984-12-18,39.5300
1984-12-19,39.5300
1984-12-20,39.5300
1984-12-21,39.5300
1984-12-24,39.5100
1984-12-25,.
1984-12-26,39.5100
1984-12-27,39.5200
1984-12-28,39.5400
1984-12-31,39.5200
1985-01-01,.
1985-01-02,.
1985-01-03,.
1985-01-04,39.5000
1985-01-07,39.4800
1985-01-08,39.4700
1985-01-09,39.4500
1985-01-10,39.4300
1985-01-11,39.4100
1985-01-14,39.3800
1985-01-15,39.3700
1985-01-16,39.3600
1985-01-17,39.3400
1985-01-18,39.3200
1985-01-21,.
1985-01-22,39.2600
1985-01-23,.
1985-01-24,39.2200
1985-01-25,39.2000
1985-01-28,39.1700
1985-01-29,39.1500
1985-01-30,39.1300
1985-01-31,39.1300
1985-02-01,.
1985-02-04,39.1900
1985-02-05,39.2200
1985-02-06,39.2500
1985-02-07,39.2300
1985-02-08,39.2100
1985-02-11,39.1800
1985-02-12,.
1985-02-13,39.2000
1985-02-14,39.2300
1985-02-15,39.2600
1985-02-18,.
1985-02-19,39.2700
1985-02-20,.
1985-02-21,.
1985-02-22,.
1985-02-25,39.2700
1985-02-26,.
1985-02-27,.
1985-02-28,.
1985-03-01,39.3900
1985-03-04,39.4000
1985-03-05,39.4200
1985-03-06,39.4400
1985-03-07,39.4400
1985-03-08,.
1985-03-11,39.4400
1985-03-12,39.4700
1985-03-13,39.4700
1985-03-14,39.4500
1985-03-15,39.4800
1985-03-18,39.5700
1985-03-19,39.6200
1985-03-20,39.6500
1985-03-21,39.6700
1985-03-22,39.7000
1985-03-25,39.7100
1985-03-26,39.6900
1985-03-27,39.6600
1985-03-28,39.6200
1985-03-29,39.5900
1985-04-01,39.5900
1985-04-02,39.5900
1985-04-03,39.5900
1985-04-04,.
1985-04-05,.
1985-04-08,39.6300
1985-04-09,39.6300
1985-04-10,39.6000
1985-04-11,39.6100
1985-04-12,39.6200
1985-04-15,39.6300
1985-04-16,39.6500
1985-04-17,39.6700
1985-04-18,39.7100
1985-04-19,39.7600
1985-04-22,39.8100
1985-04-23,39.8500
1985-04-24,39.8800
1985-04-25,39.9000
1985-04-26,39.9200
1985-04-29,39.9600
1985-04-30,39.9700
1985-05-01,39.9400
1985-05-02,39.9200
1985-05-03,39.9200
1985-05-06,39.9600
1985-05-07,39.9700
1985-05-08,39.9700
1985-05-09,39.9600
1985-05-10,.
1985-05-13,39.9700
1985-05-14,39.9000
1985-05-15,39.9600
1985-05-16,39.9500
1985-05-17,39.9300
1985-05-20,39.9100
1985-05-21,39.8800
1985-05-22,39.8800
1985-05-23,39.8400
1985-05-24,39.8200
1985-05-27,.
1985-05-28,39.8000
1985-05-29,39.8100
1985-05-30,39.8300
1985-05-31,.
1985-06-03,39.8200
1985-06-04,39.8200
1985-06-05,39.8200
1985-06-06,39.8200
1985-06-07,.
1985-06-10,39.8200
1985-06-11,39.8200
1985-06-12,.
1985-06-13,39.8200
1985-06-14,39.8200
1985-06-17,39.8200
1985-06-18,39.8200
1985-06-19,39.8400
1985-06-20,39.8600
1985-06-21,39.8700
1985-06-24,39.9100
1985-06-25,39.9700
1985-06-26,.
1985-06-27,40.0600
1985-06-28,.
1985-07-01,39.9500
1985-07-02,40.0500
1985-07-03,40.0500
1985-07-04,.
1985-07-05,40.0500
1985-07-08,40.0500
1985-07-09,40.0500
1985-07-10,40.0800
1985-07-11,40.1100
1985-07-12,40.0700
1985-07-15,40.0500
1985-07-16,.
1985-07-17,40.0500
1985-07-18,40.0500
1985-07-19,40.0600
1985-07-22,40.1100
1985-07-23,40.2400
1985-07-24,.
1985-07-25,.
1985-07-26,40.4300
1985-07-29,40.4000
1985-07-30,40.3800
1985-07-31,40.3600
1985-08-01,40.3400
1985-08-02,.
1985-08-05,40.4400
1985-08-06,40.4200
1985-08-07,.
1985-08-08,.
1985-08-09,40.4600
1985-08-12,40.5600
1985-08-13,40.5300
1985-08-14,40.5400
1985-08-15,40.5800
1985-08-16,40.6000
1985-08-19,40.5700
1985-08-20,40.5500
1985-08-21,40.5200
1985-08-22,.
1985-08-23,.
1985-08-26,40.4600
1985-08-27,.
1985-08-28,40.4600
1985-08-29,40.4900
1985-08-30,40.4900
1985-09-02,.
1985-09-03,40.4800
1985-09-04,40.4500
1985-09-05,40.4400
1985-09-06,40.4400
1985-09-09,40.3900
1985-09-10,40.4500
1985-09-11,40.4500
1985-09-12,40.4400
1985-09-13,.
1985-09-16,40.4300
1985-09-17,40.4000
1985-09-18,.
1985-09-19,40.4600
1985-09-20,40.5200
1985-09-23,40.5700
1985-09-24,40.5400
1985-09-25,40.5100
1985-09-26,.
1985-09-27,.
1985-09-30,.
1985-10-01,.
1985-10-02,40.3900
1985-10-03,40.3600
1985-10-04,40.3300
1985-10-07,40.2300
1985-10-08,40.2400
1985-10-09,40.2200
1985-10-10,.
1985-10-11,40.2100
1985-10-14,.
1985-10-15,40.1600
1985-10-16,40.1500
1985-10-17,40.1500
1985-10-18,.
1985-10-21,40.1300
1985-10-22,40.1100
1985-10-23,40.1000
1985-10-24,40.1000
1985-10-25,.
1985-10-28,40.1300
1985-10-29,40.1700
1985-10-30,40.1400
1985-10-31,.
1985-11-01,40.1200
1985-11-04,40.1000
1985-11-05,40.0600
1985-11-06,40.0600
1985-11-07,40.0200
1985-11-08,.
1985-11-11,.
1985-11-12,.
1985-11-13,40.0100
1985-11-14,40.0000
1985-11-15,39.9900
1985-11-18,39.9700
1985-11-19,39.9600
1985-11-20,.
1985-11-21,.
1985-11-22,39.9300
1985-11-25,39.9000
1985-11-26,39.8900
1985-11-27,39.8700
1985-11-28,.
1985-11-29,39.8400
1985-12-02,39.8200
1985-12-03,39.8400
1985-12-04,39.8800
1985-12-05,39.9200
1985-12-06,39.9200
1985-12-09,39.9000
1985-12-10,39.8700
1985-12-11,39.8800
1985-12-12,39.9000
1985-12-13,39.8900
1985-12-16,39.9300
1985-12-17,39.9400
1985-12-18,.
